1;1;44111509; PORTA LAPICES, PLUMAS, CLIPS
2;1;44111518; TARJETEROS
3;2;51111501; AMIFOSTINA
4;2;51111502; BUSULFAN
5;2;51111503; CARBOPLATINA
6;2;51111504; CARMUSTINA
7;2;51111505; CLORAMBUCIL
8;2;51111506; CISPLATINO
9;2;51111507; CICLOFOSFAMIDA
10;2;51111508; DACARBAZINA
11;2;51111509; IFOSFAMIDA
12;2;51111510; LOMUSTINA
13;2;51111511; HIDROCLORURO DE MECLORETAMINA
14;2;51111512; MELFALAN
15;2;51111513; MESNA
16;2;51111514; PIPOBROMAN
17;2;51111515; ESTREPTOZOCINA
18;2;51111516; TIOTEPA
19;2;51111517; MOSTAZA DE URACILO
20;2;51111518; CLORHIDRATO DE MELFALAN
21;2;51111519; TEMOZOLOMIDA
22;2;51111520; CLORHIDRATO DE PROCARBAZINA
23;2;51111521; ALTRETAMINA
24;2;51111601; CLADRIBINA
25;2;51111602; CITARABINA
26;2;51111603; FLOXURIDINA
27;2;51111604; FOSFATO DE FLUDARABINA
28;2;51111605; FLUOROURACILO
29;2;51111606; HIDROXIUREA
30;2;51111609; MERCAPTOPURINA
31;2;51111610; METOTREXATE
32;2;51111611; TENIPOSIDA
33;2;51111612; TIOGUANINA
34;2;51111613; LENOGRASTIM
35;2;51111614; ETOPOSIDE
36;2;51111615; GLUTATIONA
37;2;51111616; CAPECITABINA
38;2;51111617; CLORHIDRATO DE GEMCITABINA
39;2;51111618; METOTREXATO SODICO
40;2;51111619; MESSNA SOLUCION
41;2;51111701; BLEOMICINA SULFATO
42;2;51111702; DACTINOMICINA
43;2;51111703; DAUNORUBICINAS
44;2;51111704; MITOMICINA
45;2;51111705; MITOTAN
46;2;51111706; HIDROCLORURO DE MITOXANTRONA
47;2;51111707; PENTOSTATINA
48;2;51111708; PLICAMICINA
49;2;51111709; VINCRISTINA SULFATO
50;2;51111710; EPIRUBICINA
51;2;51111711; DOXORRUBICINA CLORHIDRATO
52;2;51111712; PIRARUBICINA
53;2;51111713; ALEMTUZUMAB
54;2;51111714; CLORHIDRATO DE DOXORUBICINA LIPOSOMAL
55;2;51111715; CLORHIDRATO DE EPIRUBICINA
56;2;51111716; RITUXIMAB
57;2;51111717; TRASTUZUMAB
58;2;51111718; VALRUBICINA
59;2;51111719; HIDROCLORURO DE IDARUBICINA
60;2;51111801; ANASTROZOL
61;2;51111802; BICALUTAMIDA
62;2;51111803; FOSFATO DE ESTRAMUSTINA SODICO
63;2;51111804; FLUTAMIDA
64;2;51111805; ACETATO DE GOSERELINA
65;2;51111806; HIDROCLORURO DE IRINOTECAN
66;2;51111807; LEUPROLIDE ACETATO
67;2;51111808; NILUTAMIDA
68;2;51111809; TAMOXIFENO
69;2;51111810; TESTOLACTONA
70;2;51111811; HIDROCLORURO DE TOPOTECAN
71;2;51111812; VINBLASTINA SULFATO
72;2;51111813; VINCRISTINA SULFATO
73;2;51111814; TARTRATO DE VINORELBINA
74;2;51111815; TRIPTORELINA
75;2;51111816; BUSERELINA
76;2;51111817; CITRATO DE TOREMIFENO
77;2;51111818; PAMOATO DE TRIPTORELINA
78;2;51111819; FULVESTRANT
79;2;51111820; LETROZOL
80;2;51111821; TAMOXIFENO CITRATO
81;2;51111901; ASPARAGINA
82;2;51111902; DOCETAXEL
83;2;51111904; PACLITAXEL
84;2;51111905; PORFIMERO SODICO
85;2;51111906; PEGASPARGASE
86;2;51111907; FENILBUTIRATO SODICO
87;3;51191501; CLOROTIACIDA
88;3;51191502; CLORTALIDONA
89;3;51191503; MENTOLAZONA
90;3;51191504; BUMETANIDA
91;3;51191505; ETACRINATO SODICO
92;3;51191506; HIDROCLOTIACIDA AMILORIDE
93;3;51191507; ESPIRONOLACTONA
94;3;51191508; TRIAMTERENO
95;3;51191509; MANITOL
96;3;51191510; FUROSEMIDA
97;3;51191511; CANRENOATO POTASICO
98;3;51191512; LASITONE
99;3;51191513; BENDROFLUMETIAZIDA
100;3;51191514; ACIDO ETACRINICO
101;3;51191515; HIDROCLOROTIAZIDA
102;3;51191516; HIDROFLUMETIAZIDA
103;3;51191517; ISOSORBIDE
104;3;51191518; METICLOTIAZIDA
105;3;51191519; PAMABROM
