1;ACCESORIOS DE OFICINA Y ESCRITORIO
2;AGENTES ANTITUMORALES
3;AGENTES PARA AFECCIONES DEL AGUA Y LOS ELECTROLITOS
4;ALMACENAJE
5;APARATOS ELECTRODOMESTICOS
6;ARTE, MANUALIDADES, ACCESORIOS Y SUMINISTROS
7;BOMBAS Y COMPRESORES INDUSTRIALES
8;CALEFACCION, VENTILACION Y CIRCULACION DEL AIRE
9;CATEGORÍAS DE MEDICAMENTOS VARIOS
10;COMERCIALIZACION Y DISTRIBUCION
11;COMPONENTES PARA TECNOLOGÍA DE LA INFORMACION, DIFUSION O TELECOMUNICACIONES
12;DATOS-VOZ, EQUIPO DE RED MULTIMEDIA, PLATAFORMAS Y ACCESORIOS
13;DISPOSITIVOS DE COMUNICACIONES Y ACCESORIOS
14;DISTRIBUCION DE FLUIDOS Y GAS
15;EQUIPO DE IMPRENTA Y PUBLICACION
16;EQUIPO DE PRESENTACION AUDIOVISUAL
17;EQUIPO FOTOGRAFICO
18;EQUIPO INFORMATICO
19;EQUIPOS DE OFICINA Y ESCRITORIO
20;EQUIPOS, SUMINISTROS Y COMPONENTES ELECTRICOS
21;ETIQUETADO Y ACCESORIOS
22;FARMACOS PARA AFECCIONES A LOS OIDOS, LOS OJOS, LA NARIZ Y LA PIEL
23;FILTRADO Y PURIFICACION INDUSTRIAL
24;HERRAMIENTAS DE MANO
25;HERRAMIENTAS ESPECIALIZADAS DE AUTOMOTORES
26;HORMONAS Y ANTAGONISTAS HORMONALES
27;ILUMINACION, ARTEFACTOS Y ACCESORIOS
28;INSTALACIONES HOTELERAS, ALOJAMIENTOS Y CENTROS DE ENCUENTROS
29;MANEJO Y EMBALAJE DE MATERIAL
30;MAQUINARIA Y EQUIPO HIDRAULICO
31;MAQUINARIA Y EQUIPO NEUMATICO
32;MATERIALES DIDACTICOS PROFESIONALES Y DE DESARROLLO Y ACCESORIOS Y SUMINISTROS
33;MEDICAMENTOS ANTIINFECCIOSOS
34;MEDICAMENTOS CARDIOVASCULARES
35;MEDICAMENTOS HEMATOLICOS
36;MEDICAMENTOS INMUNOMODULADORES
37;MEDICAMENTOS PARA AFECCIONES DEL SISTEMA GASTROINTESTINAL
38;MEDICAMENTOS PARA AFECCIONES DEL TRACTO RESPIRATORIO
39;MEDICAMENTOS PARA EL SISTEMA NERVIOSO AUTONOMO
40;MEDICAMENTOS PARA EL SISTEMA NERVIOSO CENTRAL
41;MEDIOS IMPRESOS
42;OPERACIONES DE TRANSPORTE
43;PAPEL PARA USO INDUSTRIAL
44;PRODUCTOS DE PAPEL
45;RESTAURANTES Y CATERING (SERVICIOS DE COMIDAS Y BEBIDAS)
46;ROPA DE CAMA, MANTELERÍAS, PAÑOS DE COCINA Y TOALLAS
47;SERVICIOS DE APOYO, MANTENIMIENTO Y REPARACION PARA LA CONSTRUCCION
48;SERVICIOS DE ASESORÍA DE GESTION
49;SERVICIOS DE CONTROL DE CALIDAD
50;SERVICIOS DE DISEÑO Y SUPERVISION EN LA CONSTRUCCION
51;SERVICIOS DE ENTRETENIMIENTO
52;SERVICIOS DE INFORMACION
53;SERVICIOS DE MEDIOS DE TELECOMUNICACIONES
54;SERVICIOS DE PEDOLOGÍA
55;SERVICIOS DE RECURSOS HUMANOS
56;SERVICIOS DE REPARACION DE VEHÍCULOS
57;SERVICIOS INFORMATICOS
58;SERVICIOS PUBLICOS
59;SOFTWARE, PROGRAMAS
60;SUMINISTROS DE OFICINA
61;SUPLEMENTOS ALIMENTICIOS VETERINARIOS
62;TRANSPORTE DE CORREO Y CARGA
63;TRANSPORTE DE PASAJEROS
