1;14111507; PAPEL PARA FOTOCOPIADORA O IMPRESORA;PRODUCTOS DE PAPEL
2;14111508; PAPEL PARA FAX;PRODUCTOS DE PAPEL
3;14111509; ARTICULOS DE PAPELERIA;PRODUCTOS DE PAPEL
4;14111510; PAPEL PARA TRAZADO DE CURVAS. PARA PLANOS (PLOTTER);PRODUCTOS DE PAPEL
5;14111514; CUADERNOS Y LIBRETAS;PRODUCTOS DE PAPEL
6;14111515; PAPEL PARA CALCULADORAS O CAJAS REGISTRADORAS;PRODUCTOS DE PAPEL
7;14111517; BLOCK RAYADO Y/O TAQUIGRAFIA;PRODUCTOS DE PAPEL
8;14111524; PAPEL MINISTRO Y/O MEMBRETADO;PRODUCTOS DE PAPEL
9;14111530; TACOS DE PAPEL (INCLUYE LOS AUTOADHESIVOS);PRODUCTOS DE PAPEL
10;14111703; TOALLAS DE PAPEL;PRODUCTOS DE PAPEL
11;14111704; PAPEL HIGIENICO;PRODUCTOS DE PAPEL
12;14111705; SERVILLETAS DE PAPEL;PRODUCTOS DE PAPEL
13;14111803; VALES;PRODUCTOS DE PAPEL
14;14121810; PAPELES CARBON;PAPEL PARA USO INDUSTRIAL
15;27111505; SACADORES DE CLAVOS O PUNZONES CUADRADOS;HERRAMIENTAS DE MANO
16;27111506; CIZALLAS MANUALES;HERRAMIENTAS DE MANO
17;27111507; CORTADORES DE METAL;HERRAMIENTAS DE MANO
18;27111508; SIERRAS;HERRAMIENTAS DE MANO
19;27111509; TALADROS;HERRAMIENTAS DE MANO
20;27111510; HERRAMIENTAS PARA DESFORRAMIENTO;HERRAMIENTAS DE MANO
21;27111511; TENAZAS PARA ALAMBRE;HERRAMIENTAS DE MANO
22;27111512; CORTADORES DE PERNO;HERRAMIENTAS DE MANO
23;27111513; CORTADOR PARA MANGUERA;HERRAMIENTAS DE MANO
24;27111514; CORTADORA DE VIDRIO;HERRAMIENTAS DE MANO
25;27111515; TALADRO DE MANO O EMPUJE;HERRAMIENTAS DE MANO
26;27111516; ALICATES DE PERFORACION;HERRAMIENTAS DE MANO
27;27111517; DISTRIBUIDORES O JUEGOS DE HOJAS DE CUCHILLA;HERRAMIENTAS DE MANO
28;27111518; HERRAMIENTA DE PLEGAR PARA OREJA DE ALAMBRE;HERRAMIENTAS DE MANO
29;27111519; TIJERAS DE FABRICANTE. DE INDUSTRIA;HERRAMIENTAS DE MANO
30;27111520; ROMPETUERCAS;HERRAMIENTAS DE MANO
31;27111521; RECORTADORAS DE CHAPA DE UÑA VIBRATORIA;HERRAMIENTAS DE MANO
32;27111522; TRINQUETE CON LUZ;HERRAMIENTAS DE MANO
33;27111523; RASPADOR DE CRISTAL;HERRAMIENTAS DE MANO
34;27111524; CORTADORA DE REMACHES;HERRAMIENTAS DE MANO
35;27111525; TENACILLAS;HERRAMIENTAS DE MANO
36;27111526; INSTRUMENTO DE SELLADO;HERRAMIENTAS DE MANO
37;27111527; SACABOCADO;HERRAMIENTAS DE MANO
38;27111528; CORTADORA DE ANGULOS;HERRAMIENTAS DE MANO
39;27111529; TIJERAS CON AISLANTE;HERRAMIENTAS DE MANO
40;27111530; TIJERAS DE PESCADOR;HERRAMIENTAS DE MANO
41;27111532; SERRUCHO;HERRAMIENTAS DE MANO
42;27111601; MAZAS DE HIERRO;HERRAMIENTAS DE MANO
43;27111602; MARTILLOS;HERRAMIENTAS DE MANO
44;27111603; YUNQUES;HERRAMIENTAS DE MANO
45;27111604; HACHAS DE MANO;HERRAMIENTAS DE MANO
46;27111605; PICOS;HERRAMIENTAS DE MANO
47;27111607; HERRAMIENTAS PARA ESTAMPAR O EMPAREJAR MANGAS SOBRE CUERDAS;HERRAMIENTAS DE MANO
48;27111608; ENDEREZADORES MANUALES DE CABLES;HERRAMIENTAS DE MANO
49;27111609; ENDEREZADORES DE CABLES ELECTRICOS;HERRAMIENTAS DE MANO
50;27111610; MARTILLO Y COMPONENTES DE MAZO;HERRAMIENTAS DE MANO
51;27111611; MAZO PARA DESTRUIR PIEDRAS;HERRAMIENTAS DE MANO
52;27111612; MAZO O MARTILLO ANTI CHISPA;HERRAMIENTAS DE MANO
53;27111613; HACHA ANTI CHISPA;HERRAMIENTAS DE MANO
54;27111614; PICOS ANTI CHISPA;HERRAMIENTAS DE MANO
55;27111701; DESTORNILLADORES;HERRAMIENTAS DE MANO
56;27111702; LLAVES PARA TUERCAS;HERRAMIENTAS DE MANO
57;27111703; JUEGOS DE ENCHUFES;HERRAMIENTAS DE MANO
58;27111704; LLAVES DE COPA;HERRAMIENTAS DE MANO
59;27111705; LLAVES DE TUERCAS DE BOCA CERRADA;HERRAMIENTAS DE MANO
60;27111706; LLAVE DE TUERCAS DE BOCA ABIERTA;HERRAMIENTAS DE MANO
61;27111707; LLAVES AJUSTABLES;HERRAMIENTAS DE MANO
62;27111708; LLAVES PARA TUBOS;HERRAMIENTAS DE MANO
63;27111709; EXTRACTOR DE TORNILLOS;HERRAMIENTAS DE MANO
64;27111710; LLAVES ALLEN;HERRAMIENTAS DE MANO
65;27111711; RATCH;HERRAMIENTAS DE MANO
66;27111712; EXTRACTORES;HERRAMIENTAS DE MANO
67;27111713; LLAVE FIJA Y CORONA;HERRAMIENTAS DE MANO
68;27111714; LLAVES DE ESPECIALIDAD PARA TUERCAS;HERRAMIENTAS DE MANO
69;27111715; LLAVES DE TORSION;HERRAMIENTAS DE MANO
70;27111716; LLAVE TORX;HERRAMIENTAS DE MANO
71;27111717; EXTRACTORES DE TUBERIA;HERRAMIENTAS DE MANO
72;27111718; EXTRACTORES DE GRIFO O MACHO;HERRAMIENTAS DE MANO
73;27111720; LLAVE MANUAL EN T PARA TOMAS;HERRAMIENTAS DE MANO
74;27111721; MANIVELAS;HERRAMIENTAS DE MANO
75;27111722; TARRAJA;HERRAMIENTAS DE MANO
76;27111723; LLAVES DE TUBO;HERRAMIENTAS DE MANO
77;27111724; LLAVES DE GANCHO;HERRAMIENTAS DE MANO
78;27111725; LLAVE PARA TUERCAS DE LLANTAS;HERRAMIENTAS DE MANO
79;27111726; LLAVES DE TUERCAS;HERRAMIENTAS DE MANO
80;27111727; LLAVES PARA CAMBIO DE BROCA DE TALADRO EN T;HERRAMIENTAS DE MANO
81;27111728; JUEGO DE DESTORNILLADORES;HERRAMIENTAS DE MANO
82;27111729; JUEGO DE LLAVES FIJAS Y CORONA;HERRAMIENTAS DE MANO
83;27111730; LLAVE DE DOBLE USO FIJA O CORONA;HERRAMIENTAS DE MANO
84;27111731; DESTORNILLADORES DE PRECISION;HERRAMIENTAS DE MANO
85;27111732; DESTORNILLADORES NO PROVOCAN CHISPAZO;HERRAMIENTAS DE MANO
86;27111733; DESTORNILLADOR DE BARRA FLEXIBLE;HERRAMIENTAS DE MANO
87;27111734; DESTORNILLADOR DE MULTIPLES PUNTAS;HERRAMIENTAS DE MANO
88;27111735; RATCH PARA DESTORNILLADOR;HERRAMIENTAS DE MANO
89;27111736; DESTORNILLADOR AISLADO;HERRAMIENTAS DE MANO
90;27111737; EMPUJE DE MANO AUTOMATICO DESTORNILLADOR;HERRAMIENTAS DE MANO
91;27111738; DESTORNILLADOR TESTER;HERRAMIENTAS DE MANO
92;27111739; DESTORNILLADOR CON TORQUE;HERRAMIENTAS DE MANO
93;27111740; DESTORNILLADOR TELESCOPICO;HERRAMIENTAS DE MANO
94;27111741; DESTORNILLADOR CON BARRA PERMUTABLE;HERRAMIENTAS DE MANO
95;27111801; CINTAS METRICAS;HERRAMIENTAS DE MANO
96;27111802; NIVELES;HERRAMIENTAS DE MANO
97;27111803; ESCUADRAS;HERRAMIENTAS DE MANO
98;27111804; PENDULOS;HERRAMIENTAS DE MANO
99;27111806; REGLAS DE MEDIR CLAVOS O MOLDURAS;HERRAMIENTAS DE MANO
100;27111807; REGLONES DE PRECISION;HERRAMIENTAS DE MANO
101;27111809; CARTABONES;HERRAMIENTAS DE MANO
102;27111810; CALIBRADORES DE PERNO PRISIONERO;HERRAMIENTAS DE MANO
103;27111811; METRO PLEGABLE;HERRAMIENTAS DE MANO
104;27111812; CINTA METRICA DE LARGO ALCANCE;HERRAMIENTAS DE MANO
105;27111901; CORTAFRIOS;HERRAMIENTAS DE MANO
106;27111902; LIMAS;HERRAMIENTAS DE MANO
107;27111903; CEPILLOS DE CARPINTERO;HERRAMIENTAS DE MANO
108;27111904; ESCOFINAS. CEPILLOS DE LIMAS;HERRAMIENTAS DE MANO
109;27111905; ESMERILADORAS O AMOLADORAS;HERRAMIENTAS DE MANO
110;27111906; CINCELES DE MADERA;HERRAMIENTAS DE MANO
111;27111907; CEPILLOS DE ALAMBRE;HERRAMIENTAS DE MANO
112;27111908; PIEDRAS O HERRAMIENTAS O EQUIPOS DE AFILAR;HERRAMIENTAS DE MANO
113;27111909; ESPATULAS;HERRAMIENTAS DE MANO
114;27111910; BURILES;HERRAMIENTAS DE MANO
115;27111911; FORMONES. CINCELES DE CORTE EN CRUZ;HERRAMIENTAS DE MANO
116;27111912; FORMON CACHA DE MADERA;HERRAMIENTAS DE MANO
117;27111913; CANTEADORA;HERRAMIENTAS DE MANO
118;27111914; CINCEL DE PUNTA (PUNZON);HERRAMIENTAS DE MANO
119;27111915; CINCEL PARA USO EN PIEDRA;HERRAMIENTAS DE MANO
120;27112001; MACHETES;HERRAMIENTAS DE MANO
121;27112002; AZADONES;HERRAMIENTAS DE MANO
122;27112003; RASTRILLOS;HERRAMIENTAS DE MANO
123;27112004; PALAS;HERRAMIENTAS DE MANO
124;27112005; HACHAS;HERRAMIENTAS DE MANO
125;27112013; EXCAVADORA DE HOYOS PARA POSTES;HERRAMIENTAS DE MANO
126;27112101; DOBLADORES DE TUBOS;HERRAMIENTAS DE MANO
127;27112102; PRENSA DE BANCO;HERRAMIENTAS DE MANO
128;27112103; ABRAZADERAS;HERRAMIENTAS DE MANO
129;27112104; TENAZAS;HERRAMIENTAS DE MANO
130;27112105; PINZAS;HERRAMIENTAS DE MANO
131;27112106; ALICATES DE GUARDALINEA;HERRAMIENTAS DE MANO
